src,hrc_key,desired_metric,achieved_metric,distance_index,distance
People_004_h.jpg,D,0.3375324138621293,0.33060404658317566,11,0.006928367278953629
People_004_h.jpg,E,0.26604605095,0.2738662362098694,8,0.007820185259869383
People_004_h.jpg,F,0.22354000524961462,0.2301204651594162,6,0.006580459909801578
People_004_h.jpg,G,0.1611954868,0.17571869492530823,4,0.014523208125308218
People_005_h.jpg,A,1,1,None,0
People_005_h.jpg,B,0.659951634396917,0.6618399620056152,36,0.0018883276086982814
People_005_h.jpg,C,0.45775766648680044,0.46197399497032166,17,0.0042163284835212145
People_005_h.jpg,D,0.3375324138621293,0.3349461257457733,10,0.0025862881163559726
People_005_h.jpg,E,0.26604605095,0.2589452564716339,7,0.00710079447836609
People_005_h.jpg,F,0.22354000524961462,0.23186993598937988,6,0.008329930739765262
People_005_h.jpg,G,0.1611954868,0.16624605655670166,4,0.0050505697567016505
People_006_h.jpg,A,1,1,None,0
People_006_h.jpg,B,0.659951634396917,0.6593660712242126,44,0.0005855631727043065
People_006_h.jpg,C,0.45775766648680044,0.46223074197769165,20,0.00447307549089121
People_006_h.jpg,D,0.3375324138621293,0.33255693316459656,11,0.00497548069753273
People_006_h.jpg,E,0.26604605095,0.2714458107948303,8,0.005399759844830321
People_006_h.jpg,F,0.22354000524961462,0.2214822769165039,6,0.0020577283331107143
People_006_h.jpg,G,0.1611954868,0.14767590165138245,3,0.013519585148617563
People_007_h.jpg,A,1,1,None,0
People_007_h.jpg,B,0.659951634396917,0.6612768769264221,38,0.0013252425295051662
People_007_h.jpg,C,0.45775766648680044,0.4636353552341461,17,0.005877688747345677
People_007_h.jpg,D,0.3375324138621293,0.32935601472854614,9,0.008176399133583145
People_007_h.jpg,E,0.26604605095,0.2746831178665161,7,0.008637066916516112
People_007_h.jpg,F,0.22354000524961462,0.2279687374830246,5,0.004428732233409977
People_007_h.jpg,G,0.1611954868,0.15313506126403809,3,0.008060425535961924
People_008_h.jpg,A,1,1,None,0
People_008_h.jpg,B,0.659951634396917,0.6621047854423523,39,0.002153151045435342
People_008_h.jpg,C,0.45775766648680044,0.4515109956264496,16,0.006246670860350856
People_008_h.jpg,D,0.3375324138621293,0.34643083810806274,10,0.008898424245933456
People_008_h.jpg,E,0.26604605095,0.2777204215526581,7,0.01167437060265808
People_008_h.jpg,F,0.22354000524961462,0.22164562344551086,5,0.0018943818041037563
People_008_h.jpg,G,0.1611954868,0.14986996352672577,3,0.01132552327327424
People_009_h.jpg,A,1,1,None,0
People_009_h.jpg,B,0.659951634396917,0.6591612100601196,35,0.000790424336797324
People_009_h.jpg,C,0.45775766648680044,0.4624839127063751,15,0.004726246219574681
People_009_h.jpg,D,0.3375324138621293,0.3313886523246765,8,0.006143761537452774
People_009_h.jpg,E,0.26604605095,0.27903905510902405,6,0.012993004159024046
People_009_h.jpg,F,0.22354000524961462,0.21666528284549713,4,0.006874722404117489
People_009_h.jpg,G,0.1611954868,0,0,8.746965602102197e-06
People_010_h.jpg,A,1,1,None,0
People_010_h.jpg,B,0.659951634396917,0.6638635396957397,38,0.003911905298822793
People_010_h.jpg,C,0.45775766648680044,0.46451112627983093,17,0.006753459793030492
People_010_h.jpg,D,0.3375324138621293,0.3412121832370758,10,0.0036797693749465177
People_010_h.jpg,E,0.26604605095,0.27183812856674194,7,0.005792077616741942
People_010_h.jpg,F,0.22354000524961462,0.2163907289505005,5,0.007149276299114132
People_010_h.jpg,G,0.1611954868,0.14658665657043457,3,0.01460883022956544
People_011_h.jpg,A,1,1,None,0
People_011_h.jpg,B,0.659951634396917,0.6602463722229004,44,0.0002947378259834377
People_011_h.jpg,C,0.45775766648680044,0.45407557487487793,19,0.003682091611922511
People_011_h.jpg,D,0.3375324138621293,0.33199959993362427,11,0.00553281392850502
People_011_h.jpg,E,0.26604605095,0.26936447620391846,8,0.0033184252539184556
People_011_h.jpg,F,0.22354000524961462,0.2200630009174347,6,0.003477004332179928
People_011_h.jpg,G,0.1611954868,0.15994001924991608,4,0.001255467550083933
People_012_h.jpg,A,1,1,None,0
People_012_h.jpg,B,0.659951634396917,0.6560496687889099,37,0.003901965608007041
People_012_h.jpg,C,0.45775766648680044,0.45720645785331726,17,0.0005512086334831801
People_012_h.jpg,D,0.3375324138621293,0.34674346446990967,11,0.00921105060778038
People_012_h.jpg,E,0.26604605095,0.2736002206802368,8,0.007554169730236815
People_012_h.jpg,F,0.22354000524961462,0.2186855524778366,6,0.004854452771778012
People_012_h.jpg,G,0.1611954868,0.15422697365283966,4,0.006968513147160349
People_013_v.jpg,A,1,1,None,0
People_013_v.jpg,B,0.659951634396917,0.6599896550178528,37,3.802062093583025e-05
People_013_v.jpg,C,0.45775766648680044,0.45739489793777466,16,0.0003627685490257826
People_013_v.jpg,D,0.3375324138621293,0.3293702006340027,9,0.008162213228126602
People_013_v.jpg,E,0.26604605095,0.2776944637298584,7,0.011648412779858397
People_013_v.jpg,F,0.22354000524961462,0.22126717865467072,5,0.0022728265949439053
People_013_v.jpg,G,0.1611954868,0.14770056307315826,3,0.013494923726841745
People_014_h.jpg,A,1,1,None,0
People_014_h.jpg,B,0.659951634396917,0.6602448225021362,38,0.0002931881052192775
People_014_h.jpg,C,0.45775766648680044,0.4534139037132263,16,0.0043437627735741224
People_014_h.jpg,D,0.3375324138621293,0.3308181166648865,9,0.006714297197242813
People_014_h.jpg,E,0.26604605095,0.2586098313331604,6,0.007436219616839601
People_014_h.jpg,F,0.22354000524961462,0.22913150489330292,5,0.005591499643688297
People_014_h.jpg,G,0.1611954868,0.16263870894908905,3,0.0014432221490890407
People_015_h.jpg,A,1,1,None,0
People_015_h.jpg,B,0.659951634396917,0.6608365774154663,38,0.0008849430185493556
People_015_h.jpg,C,0.45775766648680044,0.45808663964271545,17,0.0003289731559150133
People_015_h.jpg,D,0.3375324138621293,0.3306494355201721,10,0.006882978341957169
People_015_h.jpg,E,0.26604605095,0.2580118179321289,7,0.008034233017871095
People_015_h.jpg,F,0.22354000524961462,0.22931595146656036,6,0.005775946216945743
People_015_h.jpg,G,0.1611954868,0.1670500487089157,4,0.005854561908915701
People_016_h.jpg,A,1,1,None,0
People_016_h.jpg,B,0.659951634396917,0.6630023717880249,41,0.0030507373911079494
People_016_h.jpg,C,0.45775766648680044,0.46320292353630066,18,0.005445257049500218
People_016_h.jpg,D,0.3375324138621293,0.3392651081085205,10,0.0017326942463912198
People_016_h.jpg,E,0.26604605095,0.25503209233283997,6,0.011013958617160036
People_016_h.jpg,F,0.22354000524961462,0.22736944258213043,5,0.0038294373325158115
People_016_h.jpg,G,0.1611954868,0.16019640862941742,3,0.0009990781705825902
People_017_h.jpg,A,1,1,None,0
People_017_h.jpg,B,0.659951634396917,0.6606121063232422,40,0.0006604719263252345
People_017_h.jpg,C,0.45775766648680044,0.4527031481266022,18,0.005054518360198268
People_017_h.jpg,D,0.3375324138621293,0.34708669781684875,12,0.009554283954719467
